"","x"
"recomiendo",4
"hola",4
"buen",3
"mas",3
"asi",3
"meses",2
"tdc",2
"uso",2
"nunca",2
"atencion",2
"ayuda",2
"experiencia",2
"amo",2
"mejor",2
"msi",2
"tarjeta",2
"credito",2
"contrate",1
"decia",1
"garantizada",1
"graduar",1
"recuerdo",1
"van",1
"falla",1
"apuro",1
"sali",1
"revise",1
"jaja",1
"perpetuo",1
"sabado",1
"quedo",1
"agree",1
"contigo",1
"versh",1
"ahi",1
"app",1
"apuros",1
"cel",1
"comunique",1
"cuanto",1
"dato",1
"den",1
"digan",1
"facilidad",1
"facilidades",1
"hice",1
"mail",1
"modificaractualizar",1
"nomas",1
"numero",1
"responden",1
"sacan",1
"sugerencia",1
"telefono",1
"ver",1
"viene",1
"atiende",1
"brindar",1
"buenos",1
"comentarios",1
"detalle",1
"dias",1
"favor",1
"impoantes",1
"interesa",1
"luz",1
"mayor",1
"placer",1
"presentas",1
"puedes",1
"saber",1
"saludae",1
"situacion",1
"hable",1
"inquietud",1
"resolvio",1
"telefonica",1
"via",1
"gran",1
"lxs",1
"shop",1
"tqm",1
"ayudae",1
"charliehack",1
"mio",1
"opcion",1
"problema",1
"rapida",1
"recomendaron",1
"recupere",1
"solucionar",1
"telegram",1
"alguna",1
"dia",1
"pago",1
"promocion",1
"saludos",1
"tenencia",1
"aprueben",1
"aunque",1
"banamex",1
"casos",1
"compras",1
"daban",1
"dificil",1
"escuchado",1
"historial",1
"menos",1
"primera",1
"recompensas",1
"siento",1
"tiempo",1
"acorde",1
"anime",1
"boletos",1
"cine",1
"coleccion",1
"comprar",1
"conocer",1
"detalles",1
"invitarnos",1
"nueva",1
"obsequios",1
"pelicula",1
"rascaldoesnotdream",1
"retro",1
"asistie",1
"ayudaremos",1
"encantados",1
"escribas",1
"gusto",1
"informacion",1
"invitamos",1
"manera",1
"pendientes",1
"requieres",1
"toda",1
"confianza",1
"didi",1
"faltaria",1
"incrementar",1
"linea",1
"mean",1
"ofreciendo",1
"acabo",1
"correo",1
"enviar",1
"mande",1
"ayer",1
"chulearon",1
"feliz",1
"festival",1
"gane",1
"jajajaja",1
"outfit",1
"quedaba",1
"real",1
"sombrerito",1
"clientes",1
"comprension",1
"demostrado",1
"diferencia",1
"hacer",1
"hagan",1
"necesidades",1
"posible",1
"proyectos",1
"realidad",1
"verdadera",1
"chingo",1
